Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Current_Age,Kilometers_Per_Year
33,Audi A6 2.7 TDI,Kolkata,2010,35000,0,1,1,12.4,2698.0,179.5,5.0,11.5,13,2692.3076923076924
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,1,0,2,16.09,1598.0,103.5,5.0,6.98,9,6159.0
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,1,0,2,14.0,1061.0,88.8,5.0,1.85,14,5986.857142857143
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,0,0,1,24.3,1248.0,88.5,5.0,8.63,5,10015.0
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,1,0,1,18.15,1198.0,88.8,5.0,4.85,6,8666.666666666666
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,0,1,1,11.74,2987.0,254.8,5.0,28.0,10,8500.0
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,0,0,1,22.07,1199.0,73.9,5.0,5.0,10,6200.0
40,Maruti Alto LXi,Delhi,2008,90000,1,0,2,19.7,796.0,46.3,5.0,1.25,15,6000.0
41,Tata Nano LX SE,Kochi,2014,19698,1,0,1,25.4,624.0,37.5,4.0,1.53,9,2188.6666666666665
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,0,0,1,25.32,1198.0,88.8,6.0,5.58,6,3672.1666666666665
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,1,0,1,18.5,1197.0,82.9,5.0,4.74,9,3943.0
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,1,1,1,14.62,1999.0,149.92,5.0,8.85,9,5152.666666666667
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,1,1,1,14.28,1798.0,138.03,5.0,10.11,7,7428.714285714285
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,0,0,2,14.9,1991.0,112.2,5.0,4.25,15,3867.0
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,1,0,1,11.25,2694.0,163.7,7.0,10.95,11,6427.636363636364
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,0,0,1,24.4,1120.0,88.8,5.0,3.85,9,8333.333333333334
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,0,0,2,16.55,2498.0,88.8,6.0,5.5,11,6890.909090909091
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,0,1,1,17.11,1968.0,174.33,5.0,21.43,8,1706.0
51,Maruti Swift LDI,Delhi,2014,52000,0,0,1,22.9,1248.0,88.8,5.0,4.25,9,5777.777777777777
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,0,0,1,17.8,1248.0,88.8,5.0,3.3,9,5888.888888888889
53,Maruti Swift VDI,Delhi,2013,65650,0,0,1,28.4,1248.0,88.8,5.0,3.85,10,6565.0
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,1,0,3,18.9,1197.0,88.8,5.0,3.6,8,6750.0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,1,0,1,15.04,1598.0,103.2,5.0,3.99,8,4875.0
56,Renault KWID RXT,Kochi,2017,16542,1,0,1,25.17,799.0,53.3,5.0,3.3,6,2757.0
57,Hyundai i10 Asta,Kolkata,2010,32000,1,0,1,20.36,1197.0,78.9,5.0,2.07,13,2461.5384615384614
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,0,1,1,9.49,1995.0,147.6,5.0,7.75,13,9370.153846153846
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,1,0,1,18.2,998.0,67.1,5.0,2.25,13,3023.076923076923
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,0,0,1,13.68,2393.0,147.8,8.0,16.5,6,3666.6666666666665
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,0,0,1,20.0,1399.0,88.8,5.0,2.75,13,5538.461538461538
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,1,1,1,11.74,1796.0,88.8,5.0,26.7,8,7250.0
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,0,0,2,15.8,2148.0,88.8,5.0,10.0,12,5416.666666666667
64,Tata Indica V2 eLS,Chennai,2016,178000,0,0,1,25.0,1396.0,88.8,5.0,2.5,7,25428.571428571428
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,0,1,1,16.55,1968.0,88.8,5.0,13.5,11,5969.454545454545
66,Honda City ZX CVT,Mumbai,2007,63000,1,1,2,16.4,1497.0,88.8,5.0,1.85,16,3937.5
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,0,1,1,0.0,1950.0,88.8,5.0,35.67,4,3842.25
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,0,0,1,24.52,1248.0,88.5,7.0,8.15,7,9000.0
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,0,0,1,22.1,1396.0,88.7,5.0,10.5,5,2600.0
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,1,1,1,8.5,4806.0,88.8,5.0,14.5,15,4866.666666666667
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,0,0,1,15.1,2179.0,88.8,7.0,9.65,8,6966.125
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,1,1,1,16.95,1197.0,78.9,5.0,3.48,11,4107.090909090909
73,Nissan Terrano XV D Pre,Kochi,2015,56066,0,0,1,19.64,1461.0,108.5,5.0,6.92,8,7008.25
74,Honda Brio VX AT,Coimbatore,2016,37300,1,1,2,16.5,1198.0,86.8,5.0,6.46,7,5328.571428571428
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,0,1,2,18.53,1968.0,187.74,5.0,29.5,9,6222.222222222223
77,Toyota Innova 2.0 G1,Chennai,2006,230000,1,0,3,12.4,1998.0,88.8,8.0,4.5,17,13529.411764705883
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,0,0,1,12.8,2494.0,88.8,7.0,11.75,11,9454.545454545454
80,Maruti Swift VDI,Jaipur,2012,95100,0,0,1,22.9,1248.0,88.8,5.0,3.75,11,8645.454545454546
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,1,0,1,17.57,1193.0,88.7,5.0,4.5,6,11666.666666666666
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,1,0,1,18.0,1198.0,86.7,5.0,4.82,7,7849.142857142857
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,0,0,1,20.0,1399.0,88.8,5.0,2.8,11,6394.272727272727
84,Maruti Ritz VDi,Jaipur,2013,99638,0,0,1,23.2,1248.0,73.94,5.0,3.11,10,9963.8
85,Honda City i VTEC E,Delhi,2009,52000,1,0,1,17.8,1497.0,117.3,5.0,3.25,14,3714.285714285714
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,0,1,2,16.73,1995.0,88.8,5.0,13.9,12,6250.0
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,1,0,1,20.36,1197.0,78.9,5.0,2.25,14,6855.714285714285
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,1,0,1,18.9,1197.0,88.8,5.0,5.75,7,2285.714285714286
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,1,0,1,17.8,1198.0,86.7,5.0,5.0,7,2707.0
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,0,0,1,13.0,2982.0,168.5,7.0,16.5,9,11888.888888888889
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,0,1,1,17.68,1968.0,174.33,5.0,39.58,5,9673.4
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,0,0,1,22.7,1498.0,89.84,5.0,5.5,10,5700.0
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,0,0,1,15.1,2179.0,88.8,7.0,8.1,9,6444.444444444444
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,0,0,1,25.8,1498.0,98.6,5.0,3.5,8,3750.0
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,0,0,1,22.07,1199.0,73.9,5.0,2.79,10,3421.2
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,0,0,1,16.2,1493.0,88.8,5.0,3.45,13,5384.7692307692305
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,1,0,1,18.9,998.0,67.1,5.0,4.45,7,8857.142857142857
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,1,0,1,15.26,1598.0,103.5,5.0,2.65,13,4769.307692307692
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,0,0,2,23.0,1396.0,88.8,5.0,3.8,12,6579.833333333333
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,1,0,1,18.5,1197.0,82.85,5.0,4.65,9,3353.3333333333335
102,Datsun GO Plus T Petrol,Pune,2017,32851,1,0,1,19.83,1198.0,88.8,7.0,3.95,6,5475.166666666667
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,0,1,1,14.94,2967.0,241.4,5.0,9.8,13,2307.6923076923076
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,1,0,2,17.0,1197.0,88.8,5.0,2.7,14,4714.285714285715
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,1,0,1,14.0,796.0,88.8,5.0,2.41,13,7219.2307692307695
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,1,0,1,17.71,1197.0,78.9,5.0,3.9,9,5888.888888888889
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,0,1,2,14.74,2993.0,270.9,5.0,24.0,12,6500.0
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,0,0,2,16.0,2179.0,88.8,7.0,5.75,11,5909.090909090909
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,0,1,1,22.32,1582.0,126.32,5.0,5.25,9,4444.444444444444
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,0,1,1,11.36,2755.0,171.5,7.0,19.25,6,5000.0
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,1,0,1,15.1,1196.0,88.8,5.0,3.91,6,6342.166666666667
112,Tata Nano Twist XT,Bangalore,2014,25500,1,0,1,25.4,624.0,37.5,4.0,2.15,9,2833.3333333333335
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,0,1,1,22.69,1995.0,88.8,5.0,20.75,8,7010.875
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,1,0,1,13.5,1799.0,88.8,5.0,3.35,13,5468.307692307692
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,0,0,1,12.99,2494.0,100.6,7.0,11.11,9,6111.111111111111
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,0,1,1,23.3,1984.0,88.8,5.0,20.0,9,3633.3333333333335
117,Nissan Micra XV CVT,Coimbatore,2016,39882,1,1,1,19.15,1198.0,75.94,5.0,6.55,7,5697.428571428572
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,1,1,1,10.8,2497.0,88.8,5.0,7.0,14,9142.857142857143
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,0,0,1,24.3,1248.0,88.5,5.0,7.5,7,7857.142857142857
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,0,1,2,15.0,2143.0,107.3,5.0,16.75,9,5972.555555555556
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,0,0,1,22.0,1582.0,126.2,5.0,10.95,5,2050.0
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,1,0,1,18.9,998.0,67.1,5.0,2.45,12,3656.1666666666665
124,Tata Nano XTA,Coimbatore,2017,32684,1,1,1,21.9,624.0,37.48,4.0,3.23,6,5447.333333333333
125,Mahindra Scorpio VLX,Kolkata,2014,42000,0,0,1,12.05,2179.0,88.8,8.0,7.75,9,4666.666666666667
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,1,1,1,11.7,1796.0,88.8,5.0,9.35,14,2025.142857142857
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,1,0,2,10.8,2354.0,88.8,5.0,5.25,16,2981.25
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,0,1,1,21.21,1498.0,103.2,5.0,7.25,8,6875.0
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,1,0,1,20.73,1373.0,91.1,5.0,7.47,6,7380.833333333333
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,0,1,1,16.0,2179.0,88.8,7.0,13.25,7,7714.285714285715
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,1,0,1,21.1,1197.0,85.8,5.0,5.81,7,4318.857142857143
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,1,0,1,24.07,998.0,67.1,5.0,2.6,9,9833.333333333334
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,1,1,1,19.0,2996.0,362.07,2.0,54.0,6,2228.6666666666665
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,1,1,1,17.0,1591.0,121.3,5.0,11.5,4,3161.25
136,Maruti Alto LXi BSIII,Chennai,2010,94385,1,0,2,19.7,796.0,46.3,5.0,1.6,13,7260.384615384615
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,0,1,1,20.58,1995.0,88.8,5.0,17.22,8,3977.625
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,1,1,1,19.0,1199.0,88.7,5.0,6.0,8,1500.0
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,1,0,1,13.5,1799.0,88.8,5.0,3.95,11,8052.545454545455
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,0,1,1,19.27,2143.0,88.8,5.0,17.95,9,4996.111111111111
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,0,0,1,25.8,1498.0,98.6,5.0,3.7,9,5004.888888888889
142,Maruti Swift VVT VXI,Kochi,2016,34204,1,0,1,22.0,1197.0,81.8,5.0,5.43,7,4886.285714285715
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,0,0,1,11.5,2982.0,88.8,7.0,13.49,11,8294.09090909091
145,Chevrolet Beat LT Option,Pune,2014,38800,1,0,1,18.6,1199.0,76.8,5.0,2.85,9,4311.111111111111
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,0,0,1,21.14,1498.0,103.52,5.0,4.75,10,8300.0
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,1,0,1,20.73,1373.0,91.1,5.0,9.9,5,8256.6
148,Audi RS5 Coupe,Mumbai,2013,23000,1,1,1,11.05,2894.0,88.8,4.0,37.0,10,2300.0
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,0,1,1,21.76,1995.0,88.8,5.0,26.5,9,5333.333333333333
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,0,1,1,17.11,1968.0,174.33,5.0,23.32,8,6026.75
151,Maruti Swift VDI,Chennai,2016,35000,0,0,1,22.9,1248.0,88.8,5.0,6.25,7,5000.0
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,1,1,1,7.81,5461.0,362.9,5.0,30.0,13,2713.6153846153848
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,0,1,1,21.66,1498.0,103.52,5.0,9.86,7,7802.857142857143
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,0,1,1,17.2,1968.0,138.1,5.0,8.5,11,12454.272727272728
155,Hyundai EON Magna Plus,Kochi,2019,14322,1,0,1,21.1,814.0,55.2,5.0,4.23,4,3580.5
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,0,0,1,22.07,1199.0,73.9,5.0,3.5,11,5966.727272727273
157,Datsun GO NXT,Kolkata,2016,6000,1,0,1,20.63,1198.0,67.06,5.0,2.5,7,857.1428571428571
158,Honda Brio S MT,Kolkata,2013,33280,1,0,1,19.4,1198.0,86.8,5.0,2.39,10,3328.0
159,Mercedes-Benz B Class B180,Delhi,2013,29000,1,1,1,14.8,1595.0,120.7,5.0,11.25,10,2900.0
160,Honda City i DTEC V,Kochi,2015,42831,0,0,1,26.0,1498.0,98.6,5.0,7.11,8,5353.875
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,0,0,1,12.99,2494.0,100.6,7.0,10.9,7,12857.142857142857
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,1,0,1,20.4,1197.0,81.8,5.0,6.2,6,4000.8333333333335
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,0,0,1,15.1,2179.0,88.8,7.0,7.9,11,2981.090909090909
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,0,0,1,22.7,1498.0,89.84,5.0,4.42,9,16433.11111111111
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,0,0,1,13.0,2982.0,168.5,7.0,13.5,11,11978.636363636364
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,0,1,1,21.5,1498.0,108.5,5.0,6.25,10,6500.0
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,0,0,2,20.0,1399.0,88.8,5.0,2.1,13,5086.384615384615
168,BMW X5 xDrive 30d,Mumbai,2015,41000,0,1,1,15.3,2993.0,88.8,5.0,45.0,8,5125.0
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,0,1,1,19.27,2143.0,167.62,5.0,33.66,6,3925.0
170,Honda Brio V MT,Bangalore,2012,45000,1,0,2,19.4,1198.0,86.8,5.0,3.65,11,4090.909090909091
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,1,0,1,20.36,1197.0,78.9,5.0,2.75,10,6000.0
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,0,1,1,17.9,2143.0,88.8,5.0,42.5,7,6344.857142857143
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,1,0,1,18.9,1197.0,81.86,5.0,6.5,4,250.0
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,0,1,2,17.68,1968.0,174.33,5.0,19.0,11,5681.818181818182
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,1,1,2,14.4,1598.0,103.6,5.0,4.45,10,2100.0
176,Mini Countryman Cooper D,Jaipur,2017,8525,0,1,2,16.6,1998.0,88.8,5.0,23.0,6,1420.8333333333333
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,0,0,1,22.54,1396.0,88.73,5.0,8.35,9,3222.222222222222
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,0,1,1,17.68,1968.0,174.33,5.0,22.95,9,4444.444444444444
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,0,0,1,25.44,936.0,57.6,5.0,1.5,11,8000.0
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,1,1,1,13.7,1798.0,157.75,5.0,6.89,11,4867.0
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,0,0,2,17.8,1399.0,88.8,5.0,1.45,17,12705.882352941177
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,0,1,1,22.48,1995.0,88.8,5.0,33.5,9,5666.666666666667
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,1,0,1,12.9,1598.0,102.5,5.0,1.25,16,7406.25
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,0,0,1,22.07,1199.0,73.9,5.0,4.2,11,5727.272727272727
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,0,0,1,19.98,1461.0,108.5,8.0,6.75,8,3125.0
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,0,1,1,13.0,2143.0,201.1,5.0,32.0,9,4153.555555555556
187,Maruti Baleno Alpha,Kochi,2017,24773,1,0,1,21.4,1197.0,83.1,5.0,7.5,6,4128.833333333333
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,0,0,1,22.32,1582.0,126.32,5.0,4.6,11,5636.363636363636
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,1,0,1,19.81,1086.0,68.05,5.0,4.04,6,8723.333333333334
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,0,0,1,15.4,1997.0,88.8,7.0,10.31,7,8105.571428571428
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,0,1,1,12.7,2179.0,187.7,5.0,55.76,5,7218.2
192,Ford Figo Diesel ZXI,Chennai,2010,120000,0,0,1,20.0,1399.0,88.8,5.0,2.6,13,9230.76923076923
193,Maruti Ertiga ZDI,Mumbai,2016,33000,0,0,1,25.47,1248.0,88.5,7.0,8.5,7,4714.285714285715
194,Honda City 1.5 GXI,Ahmedabad,2007,60006,1,0,1,0.0,1497.0,88.8,5.0,2.95,16,3750.375
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,0,0,1,25.8,1498.0,98.6,5.0,3.5,9,5777.777777777777
196,Hyundai i10 Magna,Jaipur,2015,43571,1,0,1,20.36,1197.0,78.9,5.0,3.55,8,5446.375
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,0,0,1,25.8,1498.0,98.6,5.0,3.25,10,5000.0
198,Skoda Laura Ambiente,Hyderabad,2008,113000,0,0,1,17.5,1896.0,88.8,5.0,4.5,15,7533.333333333333
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,0,0,1,19.87,1461.0,83.8,5.0,5.35,9,10000.0
200,Mahindra NuvoSport N6,Chennai,2017,29000,0,0,2,17.45,1493.0,88.8,7.0,6.5,6,4833.333333333333
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,0,0,1,24.3,1248.0,88.5,5.0,9.0,7,2857.1428571428573
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,1,0,1,18.6,1197.0,81.83,5.0,6.0,7,8716.0
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,1,0,1,14.7,1390.0,88.8,5.0,2.75,14,6247.071428571428
204,Tata Indigo eCS GLX,Pune,2010,70500,1,0,1,15.64,1193.0,64.1,5.0,1.5,13,5423.076923076923
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,0,1,1,15.73,1968.0,174.33,5.0,19.9,8,8012.875
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,1,1,1,14.7,1798.0,177.5,5.0,10.0,9,8444.444444444445
207,Toyota Etios Liva GD SP,Delhi,2014,104000,0,0,1,23.59,1364.0,67.06,5.0,3.0,9,11555.555555555555
208,Maruti Swift 1.3 VXi,Kolkata,2010,42001,1,0,1,16.1,1497.0,88.8,5.0,2.11,13,3230.846153846154
209,Mercedes-Benz B Class B180,Kochi,2014,37245,1,1,1,14.8,1595.0,120.7,5.0,11.96,9,4138.333333333333
210,Honda Amaze S Diesel,Kolkata,2013,45000,0,0,1,27.4,1498.0,98.6,5.0,3.25,10,4500.0
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,0,0,2,22.32,1582.0,126.32,5.0,4.75,11,10712.454545454546
